"asistente","codigoAudiencia"
"Marcelo Andrés Carvallo Rebolledo","ad0231524091"
"Cesar Domingo Munoz Aravena","ad0061539251"
"Germán Daniel Marx González","ad0061539451"
"Elizabeth Eugenia Alvarez Mandiola","ad0061611741"
"Jorge Darwing Aravena Arroyo","ad0061620421"
"Marcelo Morales","ad0061688511"
"Jorge Cristian Garrido Evans","ad0061695671"
"Catherine Paola Jara Gonzàlez","ad0061695671"
"Javier Alfredo Pinto Aguero","ad0061695671"
"Fernando Hernani Vera Villarroel","ad0061731261"
"Mariangel Macarena Silva Corsini","ad0061731261"
"Sergio Valdes Gúzman","ad0101729511"
"ALEJANDRA FRITIS ABARCA","ad0103427031"
"SOLANGE GAJARDO SOLAR","ad0103427031"
"ALEJANDRA FRITIS ABARCA","ad0103427071"
"XIMENA CORREA URZUA","ad0103427071"
"Francisco Jose Rodriguez Iglesias","ad0131613691"
"Erick Cristián Fernández Alcayaga","ad0131613891"
"Orlando Lorenzo Rivera Salinas","ad0131613891"
"Germán Luis Ahumada González","ad0131613891"
"Pedro Niada","ad0131856821"
"CARLOS OCTAVIO LETELIER","ad0201665571"
"NICOLAS SCHUBERT GALLARDO","ac0021570241"
"Adolfo Arturo Vargas Rojas","ab0761625591"
"Manuel Ernesto Villalobos Pastén","ab0761625821"
"Juan Avalos","ab0761625821"
"Maria Contreras","ab0811769141"
